Timestamp,Which library are you in right now?,How's the light in the room that you are in?,How strongly do you agree or disagree with the following statements? [The room distracts me from my work.],How strongly do you agree or disagree with the following statements? [I feel comfortable leaving my belongings unattended.],How strongly do you agree or disagree with the following statements? [The room is too crowded.],"Of these four, which library is your favorite to work in?","How convenient or inconvenient is it to get coffee, tea or snacks when you are working here?","When you are working in this room and need to take a break, which of the following are you most likely to do",How strongly do you agree or disagree with the following statements? [The printers are the main source of noise.],How's the sound in the room that you are in?,"When you are working in a library, how important or unimportant is it that you have access to coffee, tea or snacks?",What is one reason why this library is your favorite of the four?,"If you are a Cornell undergraduate student, which school(s) are you in?",What year of college are you in?,What computer are you filling out this questionnaire on?
12/5/2010 16:25:42,Uris,3,Disagree,Disagree,Disagree,Uris,1,Leave this library,Neither agree nor disagree,3,2,It's comfortable,I'm not a Cornell undergraduate student.,Graduate student,Tal's laptop computer
12/5/2010 16:25:48,Uris,3,Disagree,Strongly agree,Disagree,Uris,3,Leave this library,Agree,2,2,most quite ,College of Engineering,Freshman,Your laptop computer
12/5/2010 16:29:12,Uris,3,Disagree,Agree,Disagree,Uris,1,Stay at the station you are working at,Agree,3,5,Better chairs at the computers.  They are padded where as the ones in Olin are not,College of Agriculture and Life Sciences,Junior,Desktop computer
12/5/2010 16:30:02,Uris,3,Disagree,Strongly agree,Disagree,Uris,2,Leave this library,Neither agree nor disagree,4,1,it has lockers and is centrally located/ closer to my apartment in collegetown,College of Arts and Sciences,Senior,Your laptop computer
12/5/2010 16:30:57,Uris,2,Disagree,Neither agree nor disagree,Disagree,Uris,3,Go to a different part of this room,Neither agree nor disagree,3,2,It's really quiet,School of Hotel Administration,Sophomore,Tal's laptop computer
12/5/2010 16:31:32,Uris,3,Disagree,Strongly disagree,Disagree,Mann,4,Leave this library,Neither agree nor disagree,3,3,"study space, sound control, light",College of Arts and Sciences,Sophomore,Your laptop computer
12/5/2010 16:32:10,Uris,2,Disagree,Neither agree nor disagree,Disagree,Uris,3,Go to a different room in this library,Agree,3,2,"Usually really quiet, lots of space.

Downside is lighting (not enough of it)",College of Agriculture and Life Sciences,Sophomore,Your laptop computer
12/5/2010 16:35:12,Uris,2,Disagree,Agree,Disagree,Uris,3,Stay at the station you are working at,Disagree,2,4,it is much quite in Uris library,I'm not a Cornell undergraduate student.,Graduate student,Tal's laptop computer
12/5/2010 16:37:01,Uris,3,Disagree,Agree,Agree,Uris,3,Leave this library,Agree,2,1,"It is closest from my dorm
Olin is way way way toooooooooooooooooo crowded.
",College of Engineering,Sophomore,Your laptop computer
12/5/2010 16:46:51,Uris,4,Disagree,Agree,Disagree,Catherwood,2,Go to a different room in this library,Neither agree nor disagree,2,3,I am an ILR major so I am familiar with surroundings/people.,School of Industrial and Labor Relations,Junior,Tal's laptop computer
